x;y;z;time
9,41; -0,15; -2,52; 2716611457
9,58; -0,26; -2,19; 2716611476
9,75; 0,08; -2,14; 2716611495
9,97; 0,47; -2,14; 2716611516
9,95; 0,64; -2,09; 2716611535
9,55; 0,81; -1,90; 2716611558
9,25; 1,05; -1,79; 2716611575
9,12; 1,04; -1,74; 2716611593
8,80; 0,98; -1,82; 2716611612
8,57; 0,92; -1,87; 2716611632
8,60; 0,77; -2,09; 2716611651
9,21; 0,55; -2,05; 2716611670
10,08; 0,40; -1,60; 2716611690
10,74; 0,53; -0,85; 2716611711
11,04; 1,10; -0,13; 2716611727
10,90; 1,93; -0,77; 2716611748
13,03; 1,20; -3,00; 2716611767
13,20; -0,37; -3,39; 2716611788
11,72; -1,01; -4,02; 2716611809
11,11; -1,34; -4,87; 2716611825
10,42; -1,54; -5,06; 2716611845
8,40; -0,40; -3,81; 2716611865
6,74; 1,58; -2,61; 2716611884
6,29; 2,51; -3,47; 2716611902
6,80; 2,22; -4,28; 2716611925
7,52; 1,17; -4,32; 2716611942
8,53; -0,02; -4,39; 2716611961
9,24; -0,46; -4,35; 2716611981
9,57; -0,19; -3,84; 2716612001
9,67; 0,18; -3,65; 2716612020
9,57; 0,10; -3,79; 2716612042
9,19; -0,59; -3,88; 2716612059
9,00; -0,88; -3,71; 2716612076
8,95; -0,43; -3,36; 2716612099
8,85; 0,48; -3,01; 2716612116
8,87; 1,48; -2,87; 2716612134
9,12; 2,09; -2,66; 2716612156
9,46; 2,25; -2,44; 2716612176
9,59; 2,10; -2,47; 2716612195
9,46; 1,68; -2,36; 2716612214
9,42; 1,15; -2,37; 2716612233
9,46; 0,60; -2,49; 2716612253
9,66; 0,21; -2,55; 2716612270
9,79; 0,01; -2,64; 2716612291
9,68; 0,06; -2,37; 2716612311
8,98; 0,25; -1,94; 2716612329
8,53; 0,44; -1,94; 2716612349
9,09; 0,48; -2,18; 2716612369
9,63; 0,49; -2,38; 2716612388
9,42; 0,27; -2,23; 2716612405
9,34; 0,17; -1,99; 2716612428
9,58; -0,01; -1,62; 2716612446
10,04; -0,03; -1,34; 2716612465
10,24; 0,09; -1,58; 2716612491
9,74; 0,05; -2,93; 2716612503
9,93; 1,86; -2,88; 2716612524
11,38; 4,00; -4,35; 2716612544
12,83; 4,05; -5,02; 2716612562
12,27; 1,70; -3,95; 2716612582
10,39; 0,56; -3,66; 2716612602
8,71; 0,17; -3,60; 2716612621
7,39; 0,28; -3,21; 2716612643
6,29; 0,39; -2,82; 2716612660
6,18; 0,88; -2,86; 2716612678
7,36; 1,44; -3,55; 2716612699
9,16; 1,85; -4,13; 2716612716
10,46; 1,91; -4,43; 2716612738
10,42; 1,79; -4,38; 2716612760
9,31; 1,57; -4,18; 2716612777
8,53; 1,28; -4,17; 2716612795
8,34; 0,90; -4,31; 2716612815
8,48; 0,55; -4,48; 2716612835
8,71; 0,54; -4,38; 2716612854
9,10; 0,85; -4,21; 2716612877
9,30; 1,12; -4,09; 2716612894
9,17; 1,21; -3,81; 2716612913
8,89; 1,28; -3,54; 2716612931
8,70; 1,30; -3,34; 2716612951
8,72; 1,18; -3,35; 2716612970
8,89; 1,04; -3,45; 2716612989
9,19; 0,93; -3,57; 2716613009
9,52; 0,94; -3,67; 2716613028
9,64; 0,93; -3,64; 2716613046
9,51; 0,96; -3,50; 2716613068
9,24; 1,00; -3,52; 2716613087
9,02; 0,98; -3,46; 2716613106
8,94; 0,86; -3,36; 2716613124
8,96; 0,71; -3,32; 2716613145
9,11; 0,65; -3,36; 2716613163
9,25; 0,72; -3,35; 2716613184
9,23; 0,79; -3,29; 2716613204
9,07; 0,87; -3,20; 2716613222
8,99; 0,88; -3,17; 2716613242
9,13; 0,81; -3,26; 2716613261
9,38; 0,83; -3,35; 2716613280
9,61; 0,94; -3,39; 2716613301
